"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast"
"Naïve Forecasting",463126.895949999,463126.895949999,249623892862.082,14.8392241136397,1852507.5838,4,2936278.6176
"Moving Average",174972.006375,174972.006375,65752574124.6934,5.38723463227261,699888.0255,4,3059352.16895
"Weighted Moving Average",90102.4561899998,117248.2974,43255823721.2713,3.52642675382267,360409.824759999,3.07390241694034,3081774.96754
"Exponential Smoothing",463117.370995023,463117.370995023,249615070427.142,14.8389116782881,1852469.48398009,4,2936281.97915892
"Trend-Adjusted Exponential Smoothing",279361.548307702,279361.548307702,128173246553.405,8.76987754336427,1117446.19323081,4,3009796.56720944
"Linear Trend Projection",858401.049018764,858401.049018764,773085646098.867,27.7998910775242,3433604.19607506,4,1611860.74552269
"Seasonal Indices",1111857.37898448,1111857.37898448,1271885885336.51,36.1873991427718,4447429.51593792,4,2082442.19184638
"Additive Decomposition",853303.427637739,853303.427637739,771220452270.698,27.7087799761909,3413213.71055096,4,1681314.2172071
"Multiplicative Decomposition",852956.886744257,852956.886744257,767973335666.829,27.6986131661067,3411827.54697703,4,1668421.11128572
"Regression with Trend and Seasonal Dummies",852125.657150937,852125.657150937,739544237746.101,27.7929988169398,3408502.62860375,4,2509049.38744707
